News Sentiment Score,2019 Total Revenue,2019 EBITDA,2019 Net Income,2019 PBT,2020 Total Revenue,2020 EBITDA,2020 Net Income,2020 PBT,2021 Total Revenue,2021 EBITDA,2021 Net Income,2021 PBT,2022 Total Revenue,2022 EBITDA,2022 Net Income,2022 PBT,PE Ratio
0.0,8182.50,656.10,321.22,149.10,8853.16,1321.91,-163.01,-32.89,5322.32,655.29,-672.51,-837.54,8239.11,1241.33,-108.72,-144.93,-542.90
-0.5105666666666667,15990.00,2745.23,1377.41,2052.52,14011.65,2404.77,1430.18,1708.85,16370.03,3161.68,1862.99,2506.38,17656.07,1597.86,649.44,871.25,71.32
0.0,2130.99,1598.47,-473.93,-584.67,2629.00,1339.00,-23.00,-50.00,3605.00,2632.00,210.00,193.00,5642.00,4019.00,489.00,553.00,171.90
0.0,7656.64,3113.42,559.20,840.24,11681.29,4519.19,741.82,1106.68,11041.74,5065.77,1224.04,1619.90,12543.94,5492.59,1204.61,1700.49,72.47
0.0,15397.81,1438.54,870.94,1380.65,16960.22,1382.30,919.78,1279.74,19542.19,1660.14,1126.54,1545.69,22582.25,2408.63,1705.97,2286.72,8.65
0.99105,12287.78,7884.89,3990.22,5126.22,13871.92,7874.84,3763.13,4243.92,14519.83,10654.64,4994.30,6292.01,18281.66,10821.37,4728.09,5541.16,30.32
0.0,7410.54,563.76,303.40,445.17,5991.37,438.13,219.22,293.15,7214.96,832.88,519.71,711.49,9086.26,1473.51,1016.23,1353.41,96.82
0.0,26361.63,7431.28,-984.40,-975.86,27841.81,6056.40,-2274.77,-2264.92,28149.68,10596.72,1269.98,2288.74,31686.47,13789.45,4911.58,6577.13,9.46
0.0,41579.22,2473.56,717.14,458.72,44414.69,3166.71,1138.17,1122.33,40290.93,2999.96,922.64,1085.97,70432.69,4725.71,776.56,952.05,122.74
0.0,3791.89,718.02,450.33,698.85,4207.53,870.84,592.93,802.70,4390.92,1002.36,690.69,925.95,4996.48,1164.93,798.70,1079.73,48.84
0.0,1805.64,513.68,228.70,356.52,1918.94,639.15,436.32,547.40,1739.96,734.21,462.82,631.21,3079.31,814.50,509.40,679.04,141.00
0.0,17672.08,1899.42,679.83,888.12,16373.88,1981.74,476.40,543.45,17526.41,2339.25,350.20,561.21,21071.16,2712.52,638.61,847.69,22.51
0.0,27704.26,5197.70,2095.00,3875.31,24980.20,5293.59,2365.44,3991.59,29338.13,6462.62,2780.38,5164.47,0,0,0,0,47.37
0.0,7444.89,1202.47,760.51,954.66,8448.58,1577.61,1127.07,1259.79,9098.22,2175.60,1585.02,1842.10,10796.84,2200.61,1645.62,1844.28,41.17
0.9878333333333332,9648.90,1095.10,236.00,372.60,11472.10,1812.50,454.90,660.00,10665.60,1243.00,150.40,220.70,15034.90,2557.40,1055.60,1578.10,86.72
0.0,2522.70,396.70,195.80,283.40,2590.00,453.40,247.90,306.10,3201.40,662.60,404.40,533.00,4428.90,788.30,483.80,648.50,112.36
0.9706,70232.40,8329.23,5038.60,7592.06,80057.67,6086.12,1853.12,5280.05,77974.28,10725.91,7195.50,9750.08,86114.19,19975.05,14119.29,18929.46,27.72
0.0,19721.57,4021.90,2364.73,3091.35,23290.38,5014.88,2845.14,3743.04,28404.97,8473.47,5334.84,7343.59,23891.87,4547.90,2648.15,3372.74,20.18
0.0,19513.90,4038.71,2155.92,3306.10,20566.30,4511.87,2705.17,3629.04,22044.44,5187.25,3139.29,4304.35,29512.86,5099.49,3030.57,4187.72,75.04
0.9062,3411.04,641.88,381.81,580.13,4991.97,1002.59,674.78,913.97,6370.98,1562.87,1170.68,1458.50,6915.42,1594.23,1129.82,1454.06,35.12
0.9927,33795.77,5049.46,2078.70,2871.66,22522.69,3290.80,336.67,739.16,20047.68,2669.18,-165.23,-67.08,26772.99,2535.42,-358.61,-199.59,35.53
0.8664000000000001,10348.52,2246.98,1032.16,1598.97,8243.70,1180.75,349.83,461.70,6505.16,694.43,-126.39,-25.46,10833.99,2271.22,1081.76,1380.51,70.72
0.98085,42606.93,8380.83,3219.04,8154.74,54352.13,8758.45,3369.13,8301.66,60591.57,10360.80,4470.46,9862.34,68438.98,11833.31,4556.77,11270.58,36.57
0.0,6121.89,994.67,494.30,765.16,6434.34,1121.21,657.81,883.16,6869.08,1233.86,719.75,978.62,8830.23,1399.52,832.82,1122.29,73.73
0.0,2999.32,556.00,328.98,477.67,3124.79,911.74,328.94,487.23,1802.57,256.23,-89.32,-116.64,2443.71,481.11,103.01,139.72,62.79
0.0,32393.87,7225.75,4927.61,6955.58,31764.73,6941.72,5211.91,6692.13,29323.86,6507.46,4857.02,6241.43,35824.89,7930.10,6165.87,7651.68,22.07
0.0,5428.16,1521.61,773.65,1176.56,5062.02,1523.92,959.65,1139.52,5955.35,1982.98,1177.53,1554.92,8733.04,2446.87,1435.38,1982.15,42.00
0.0,7706.42,3091.23,1951.51,3013.06,12434.69,4133.67,3023.73,4053.41,14546.46,3051.72,2205.46,2948.66,16693.94,238.66,125.79,128.62,19.36
0.9123,45867.06,-8214.25,-5426.57,-8587.09,49277.83,-4299.70,-3051.04,-4691.66,47632.16,3539.70,2082.77,3159.61,46372.64,6026.51,3492.57,5654.83,7.83
0.9032333333333332,60793.30,2472.83,1100.09,1524.58,91086.03,463.32,927.75,-1233.91,89567.63,7730.47,1547.66,6373.16,87780.19,11446.54,7849.69,10008.30,6.57
0.6506666666666666,18500.18,6323.31,3994.99,6179.16,26385.64,7616.75,5263.75,7322.12,26683.05,6317.53,4419.82,5992.26,31640.41,9888.35,7028.23,9503.78,37.39
0.0,3258.68,3174.12,3048.38,3170.02,3493.50,3347.00,2992.00,3313.67,3908.66,3799.35,3649.83,3765.74,4380.18,4259.61,4055.68,4225.90,16.00
0.0,12237.16,2982.40,1886.40,2628.34,13067.07,2857.92,1823.85,2478.40,14233.65,3338.71,2098.94,2941.78,15599.72,3575.92,2398.87,3166.24,29.37
0.0,11261.12,1938.90,1159.12,1767.93,11879.39,2106.01,1402.63,1844.30,13449.82,2822.36,1863.90,2513.61,14359.09,2423.16,1524.82,2078.33,48.82
0.7713,5854.30,1733.60,905.30,1214.90,6529.40,1803.10,748.20,1186.00,7410.20,1840.50,740.50,1067.70,8396.70,1864.90,648.40,983.10,62.80
0.0,31102.90,2693.77,1005.10,1839.74,22053.16,456.87,-1466.01,-659.07,17701.25,-2656.12,-2697.11,-3595.93,21616.05,1232.71,446.03,470.46,61.16
0.0,12685.00,2754.10,1598.30,2338.60,10453.20,1378.20,649.50,984.70,10220.20,920.70,482.00,565.30,12177.80,1853.10,1218.30,1499.90,39.10
0.6171333333333333,86245.20,30237.90,409.50,-1731.80,91337.50,-2009.00,-32183.20,-43176.60,112386.10,41063.90,-15083.50,-3431.50,122048.40,62190.00,4254.90,12483.10,57.47
0.0,57858.26,-1682.57,601.86,-2111.40,61558.15,-1067.61,-1986.44,-1513.52,93339.45,4719.58,2890.59,3881.54,94256.89,9986.06,6124.84,9145.01,5.28
0.98765,301200.45,18087.09,7802.30,12905.37,287901.90,10368.67,3055.36,3651.57,237681.43,28489.64,16164.98,22432.02,351730.50,24076.72,11681.50,16036.73,36.14
0.0,13366.70,3174.20,1848.80,2382.10,14367.00,2533.70,1176.60,1495.40,14449.10,3159.60,2133.60,2331.20,17848.30,5923.80,4487.30,5083.80,27.96
0.0,8065.98,182.88,-503.50,-474.55,5351.18,-830.04,-1323.65,-1406.95,5126.70,1771.15,1295.20,1427.22,6191.45,1218.17,912.54,1035.39,59.41
0.0,16838.98,3573.88,1527.70,2079.14,17476.19,3550.19,1546.52,2178.18,19425.58,4518.42,2404.87,3290.06,22044.25,4651.57,2516.75,3493.27,27.98
0.872,105422.67,30840.91,17463.07,27126.87,102525.30,28025.07,16714.19,24071.32,93768.84,22369.33,12699.89,18009.24,113618.02,28586.44,17358.10,23616.28,4.98
-0.30716666666666664,13262.48,1457.12,720.48,1092.58,13177.51,1771.80,1065.04,1378.51,14262.41,2064.70,1329.15,1785.95,19258.86,2297.87,1528.46,2049.75,13.96
0.0,3729.70,696.40,403.30,562.40,4251.60,783.90,444.00,595.40,4695.40,794.10,455.60,596.20,6483.80,1153.70,661.70,861.50,38.88
0.0,4530.59,1304.21,775.55,1142.54,4574.32,1250.91,816.46,1043.35,4871.57,1539.98,1035.39,1350.22,5126.04,1592.20,1078.32,1409.01,42.07
0.0,7424.90,2155.85,1229.37,1696.74,6926.01,1134.64,403.52,543.79,6826.63,1270.47,505.26,673.68,8041.35,2018.73,1055.12,1394.47,35.43
0.0,7108.83,1888.52,1198.06,1831.53,8712.63,1699.47,1053.72,1588.22,9639.72,2150.20,1520.86,2047.90,10231.81,3008.23,2153.51,2907.60,32.61
0.9393,8812.12,1961.35,1442.33,1724.87,8989.93,1997.63,1444.96,1727.64,9886.94,2326.96,1693.30,2056.02,11281.84,2560.17,1739.22,2268.68,56.83
0.0,9719.00,2177.00,308.00,339.00,9891.00,2300.00,224.00,357.00,10291.00,2915.00,1171.00,1362.00,11477.00,2592.00,1144.00,1154.00,39.99
0.9996,2715.04,432.32,173.66,267.98,4264.91,1064.10,611.03,806.40,4381.27,1271.68,775.81,1041.72,6844.80,1648.52,1066.64,1434.45,34.10
0.0,6025.02,1196.76,742.61,1068.89,5571.20,949.08,705.61,807.48,4746.98,968.95,635.03,825.00,6637.62,1354.76,933.74,1206.98,40.79
0.0,4526.92,632.33,401.39,559.84,4579.31,658.15,496.39,590.69,4879.26,796.23,616.65,723.63,5466.76,829.13,578.38,751.54,38.01
0.0,20052.87,1681.64,902.54,1421.94,24930.19,2188.30,1301.08,1744.77,24339.27,1939.26,1099.49,1483.45,31093.76,2615.99,1492.55,2064.12,96.46
0.0,9156.73,2932.15,1319.20,645.65,7228.47,2280.70,-583.20,653.46,5944.89,1852.42,1093.61,839.58,6137.85,1938.59,1500.86,1164.60,111.03
0.8402,2990.08,141.78,63.35,93.81,4405.32,232.74,120.50,156.77,6449.75,293.45,159.80,217.01,10700.89,388.06,190.17,254.71,90.05
0.0,15829.50,3559.50,1950.00,2335.80,18193.70,3147.10,2026.00,1885.70,19386.90,4209.30,1951.60,2883.50,22099.90,4322.40,2182.50,3061.40,17.09
0.0,5101.89,2028.65,1352.74,1855.07,5584.05,2012.84,1376.54,1819.46,7031.96,2923.73,1984.29,2666.04,9073.70,3997.01,2960.45,3683.50,51.51
0.97275,10498.85,3604.90,2202.73,3297.29,9728.54,2755.31,1827.44,2354.89,9204.67,2265.57,1346.89,1798.39,10798.80,2673.22,1676.60,2202.51,34.80
0.0,2815.24,865.82,1248.57,645.29,2822.65,629.29,196.33,332.09,2851.58,796.97,-218.73,482.33,4114.14,1329.03,787.17,1045.18,25.98
0.9769,6361.21,821.76,478.93,715.01,5907.69,749.70,472.25,625.25,7174.80,1286.40,871.46,1154.78,7456.45,1139.86,736.47,992.83,44.78
0.0,78181.88,11657.03,6545.74,9831.19,76313.41,12818.04,9422.05,10428.94,60210.92,10078.54,6136.35,7725.45,95706.73,18086.17,12256.07,15463.52,12.26
0.0,5038.17,459.66,-298.92,-110.09,4908.40,736.16,57.95,239.37,4262.45,499.77,-109.76,43.29,6297.97,1435.48,555.12,987.79,36.12
0.9921,12970.66,2082.36,1316.28,1960.10,15472.20,2185.69,1580.19,2059.96,16285.73,2323.48,1664.32,2208.56,16502.46,2785.17,1969.78,2646.27,8.53
0.9925,10694.32,2493.52,2341.53,2085.33,10033.42,2185.81,1496.58,1760.40,11137.78,2421.86,1720.82,2080.36,12421.66,2487.45,1783.39,2155.26,63.39
0.0,3235.93,596.57,253.15,348.20,2914.59,733.48,270.52,492.89,1333.09,118.74,-189.30,-85.66,2585.69,705.24,352.37,516.33,69.16
0.0,20384.49,4927.52,2328.63,3724.66,21867.67,5336.75,2882.82,3978.64,23246.60,5708.26,3245.95,4283.48,25604.95,6400.30,5080.04,5224.53,19.58
0.0,7867.46,1091.36,418.45,595.62,10384.23,1730.91,1198.82,1207.98,9940.13,2175.44,1270.37,1697.55,16548.71,2181.75,1287.37,1715.16,21.58
0.9072,10202.08,1312.64,787.61,1147.01,9553.67,1173.44,735.35,904.11,10644.66,1776.55,1044.31,1437.55,14098.92,1934.37,1196.47,1606.56,78.01
0.0,78057.00,14794.87,1692.99,5163.46,76734.46,17448.80,4411.74,6554.26,77876.45,19765.77,4304.82,10008.89,97418.54,22079.67,7549.78,13142.60,16.98
0.9062,131669.00,16638.00,5496.00,8083.00,119359.00,15212.00,3767.00,5924.00,133339.00,16572.00,3483.00,6206.00,197042.00,29600.00,13730.00,19103.00,9.21
0.0,277873.49,13910.14,6690.63,10039.20,270773.15,5883.01,2638.73,1374.29,236030.84,18785.75,10662.89,14197.00,353810.15,14141.30,7294.23,9143.62,-5.33
0.91275,103584.69,22240.43,16231.76,22098.96,107542.00,26449.36,21434.57,26193.25,145992.71,24592.65,18740.06,24237.30,144937.87,28670.74,22594.69,28251.82,18.58
0.92425,22900.00,12452.00,7956.00,10456.00,20495.00,10781.00,6805.00,8390.00,24448.00,13491.00,7980.00,10574.00,30656.00,17307.00,9629.00,14100.00,12.34
0.6882,124107.79,35538.83,22332.43,34318.16,147068.26,39471.62,27253.95,38194.85,155885.28,44181.16,31833.21,42796.15,167695.40,52554.11,38052.75,50873.38,19.43
0.0,38878.93,1336.26,1277.93,1291.02,29748.96,1509.52,1297.44,1462.95,71973.08,1679.56,1360.87,1628.67,67891.60,1543.52,1326.93,1487.25,91.05
0.0,61370.00,14869.00,10120.00,12622.00,71265.00,17905.00,11057.00,13980.00,76306.00,20975.00,11145.00,15853.00,86718.00,21596.00,13499.00,16951.00,20.57
0.30746666666666667,39860.00,9202.00,6054.00,8604.00,40487.00,10285.00,6748.00,9165.00,47555.00,11796.00,7995.00,10605.00,52887.00,13076.00,8879.00,11879.00,62.48
0.996,34718.31,5765.92,3444.09,5104.30,30756.64,5503.48,3638.11,4611.08,31517.09,4610.85,2917.75,3849.32,30106.29,3800.73,2316.88,3058.11,20.66
0.0,2096.78,1387.55,930.60,1374.70,2143.43,1703.42,1262.41,1653.05,2201.74,1804.36,1325.76,1748.95,2433.20,1909.14,1393.13,1855.29,29.57
0.0,3245.61,577.27,358.84,554.89,3387.66,737.93,491.48,686.55,3126.75,675.88,460.04,618.02,3030.66,518.79,339.13,457.62,82.56
0.9624,131306.50,8354.10,4254.24,7408.26,149786.10,19759.82,9566.30,18588.60,161192.19,27224.12,18384.32,25884.05,157536.32,35571.29,25110.11,34241.28,19.35
0.9758,42157.00,5905.40,-14603.90,-18175.40,46569.30,-22047.90,-73878.10,-61797.00,44646.30,-2616.70,-44233.10,-44253.40,38849.10,16331.50,-28245.40,-28234.10,-1.17
0.0,13028.32,-417.11,-1907.88,-3237.43,17962.73,-2025.88,-2843.39,-2345.89,18179.58,861.48,483.17,518.97,20345.28,557.37,132.30,174.96,19.68
0.0,5980.25,1472.39,842.10,1269.27,6782.50,1829.06,1248.99,1556.50,5181.44,1734.31,1172.55,1421.90,8112.32,2295.02,1502.27,1953.20,19.75
0.0,21073.50,617.96,380.13,358.67,24726.78,1691.46,861.34,1377.45,45219.48,3751.72,3149.15,3114.82,46268.15,3854.16,4141.81,3253.30,6.56
0.9927,11163.72,1598.41,1049.26,1598.41,11532.77,1786.92,1193.76,1696.89,12678.38,2083.91,1473.05,1953.95,16836.02,1824.91,1271.02,1683.52,35.16
0.5206000000000001,29821.37,1175.60,157.25,-147.38,37291.51,5620.12,-233.68,-255.67,15677.59,1051.21,-5806.43,-5818.08,26656.53,1300.86,-6161.83,-6153.67,-303.90
0.6369,42053.87,1331.15,1138.93,1274.43,22603.30,1258.99,1066.99,1198.43,86957.91,1279.11,956.15,1219.25,64590.61,1027.93,759.20,960.92,87.84
0.0,4643.62,919.69,286.82,401.71,4658.27,1140.90,354.42,395.54,1899.83,-37.09,-720.11,-849.54,3227.00,575.53,-247.72,-258.18,60.02
-0.9796333333333332,1996.33,509.55,308.57,478.56,2343.52,779.55,513.10,729.58,901.04,312.14,187.02,257.51,1975.43,949.55,663.69,889.51,51.14
0.9739666666666666,50538.17,20617.83,12592.33,19149.82,52010.16,21760.86,15306.23,20034.57,51905.34,19641.73,13161.19,17938.17,62521.92,22532.87,15242.66,20740.47,28.75
0.0,8385.50,4671.40,2493.80,3552.70,8589.20,5404.00,3298.70,3787.50,15216.70,8441.70,3779.00,4756.90,28175.70,15359.20,6373.10,8430.70,20.77
0.9873,85557.00,23052.00,15404.00,21041.00,93594.00,25070.00,16594.00,22007.00,102673.00,30090.00,19351.00,26628.00,123936.00,33786.00,22110.00,30110.00,21.96
0.0,27907.87,5208.80,3300.75,4979.95,35735.50,6467.67,4458.19,6176.73,35500.68,4257.07,2930.11,3929.43,38230.07,6784.84,4805.04,6432.82,13.62
0.3335000000000001,532256.16,39358.76,17376.70,25926.90,487902.74,8888.34,-893.14,-7177.01,368645.94,44624.94,21638.21,30750.73,593653.52,50936.90,25102.23,34288.62,12.89
0.8088666666666667,3803.37,751.12,444.83,546.46,4686.03,969.16,606.32,738.89,5482.83,1610.42,1140.01,1388.98,5896.36,1379.34,884.08,1135.72,39.53
